Student,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12
Student0271,0,0,0,0,0,0,0,0,0,1,0,0
Student0272,1,1,1,1,1,0,0,1,1,1,1,0
Student0273,0,0,0,1,0,0,0,1,0,0,0,0
Student0274,1,0,0,0,0,0,0,0,0,0,0,0
Student0275,1,1,1,1,1,0,0,1,1,1,0,0
Student0276,1,1,1,0,1,0,0,1,1,0,0,0
Student0277,0,0,0,1,1,0,0,1,1,1,1,1
Student0278,1,1,0,1,0,0,0,1,0,0,0,0
Student0279,1,1,1,1,1,1,1,1,1,1,1,1
Student0280,1,0,0,1,0,0,0,1,1,1,1,0
Student0281,1,1,1,1,1,0,0,1,1,1,1,0
Student0282,0,0,0,0,0,0,0,0,0,0,0,0
Student0283,0,0,0,1,0,0,0,0,0,0,0,0
Student0284,1,1,1,0,0,0,0,1,1,1,1,0
Student0285,1,1,0,1,1,1,1,1,1,1,1,0
Student0286,1,1,0,0,0,0,0,0,0,0,0,0
Student0287,1,0,0,1,0,0,0,1,1,1,1,0
Student0288,1,1,0,1,0,0,0,0,0,0,0,0
Student0289,1,0,0,1,1,0,0,1,1,0,0,0
Student0290,0,0,0,0,0,0,0,0,0,0,0,0
Student0291,1,0,0,1,0,0,0,0,0,0,0,0
Student0292,1,0,1,1,1,0,0,1,1,1,1,0
Student0293,0,0,0,0,0,0,0,1,1,1,0,1
Student0294,0,0,0,0,1,0,0,0,0,1,0,0
Student0295,0,0,0,1,0,0,0,0,0,0,0,0
Student0296,1,1,1,1,1,0,0,0,0,0,0,0
Student0297,1,1,1,0,0,0,0,0,0,0,0,0
Student0298,0,0,0,1,1,0,0,0,1,0,0,0
Student0299,1,1,1,0,0,0,0,1,1,1,0,0
Student0300,1,1,1,1,1,1,1,1,1,1,1,1
Student0301,1,0,0,0,0,0,0,1,1,1,1,0
Student0302,1,0,0,0,0,0,0,1,1,1,1,0
Student0303,0,0,0,1,1,0,0,1,1,1,0,0
Student0304,1,0,0,0,0,0,0,1,1,1,0,0
Student0305,1,1,0,1,0,0,0,0,1,0,0,0
Student0306,1,1,1,1,1,0,0,1,0,0,0,0
Student0307,0,0,0,0,0,0,0,0,0,0,0,0
Student0308,1,0,0,1,0,0,0,1,0,0,1,0
Student0309,1,0,0,1,1,0,1,1,1,1,1,0
Student0310,1,0,0,1,1,1,1,1,1,1,1,0
Student0311,1,0,0,1,1,0,0,0,0,0,0,0
Student0312,0,0,0,1,0,0,0,0,0,1,0,0
Student0313,1,0,0,0,0,0,0,1,1,1,1,0
Student0314,1,1,0,1,1,1,1,1,1,1,1,0
Student0315,0,0,0,1,0,0,0,0,0,0,0,0
Student0316,0,0,0,1,0,0,0,0,0,0,0,0
Student0317,1,0,0,1,0,0,0,0,0,1,0,0
Student0318,1,0,0,0,0,0,0,0,1,0,0,0
Student0319,0,0,0,0,0,0,0,0,0,0,0,0
Student0320,0,0,0,0,0,0,0,1,1,1,1,1
Student0321,0,0,0,0,0,0,0,0,0,0,0,0
Student0322,0,0,0,0,0,0,0,0,0,1,0,1
Student0323,0,0,0,1,0,0,0,0,0,1,0,0
Student0324,1,1,0,1,0,0,0,1,1,1,1,0
Student0325,0,0,0,0,0,0,0,0,0,0,0,0
Student0326,0,0,0,0,0,0,0,0,0,0,0,0
Student0327,1,0,0,0,0,0,0,0,0,0,0,0
Student0328,1,1,1,0,1,0,0,0,0,0,0,0
Student0329,1,1,1,1,1,1,0,1,1,1,0,0
Student0330,1,1,1,1,1,1,1,1,1,1,1,1
Student0331,0,0,0,1,0,0,0,0,0,0,0,0
Student0332,1,0,0,0,0,0,0,1,1,1,0,1
Student0333,1,1,0,1,0,0,0,1,1,1,1,1
Student0334,1,1,0,1,1,1,1,1,1,1,1,0
Student0335,1,0,0,1,0,0,0,1,1,1,1,0
Student0336,0,0,0,1,1,1,0,1,1,1,1,0
Student0337,0,0,0,0,0,0,0,0,0,0,0,0
Student0338,0,0,0,1,0,0,0,0,0,0,1,0
Student0339,1,1,0,1,1,1,1,1,1,1,1,1
Student0340,1,1,0,1,0,0,0,1,1,1,1,0
Student0341,1,1,1,0,0,0,0,0,0,0,0,0
Student0342,1,1,1,1,1,1,1,1,1,1,1,0
Student0343,1,1,1,1,1,1,0,1,1,1,1,0
Student0344,1,0,0,1,1,0,0,0,0,0,0,0
Student0345,0,0,0,0,0,0,0,1,1,1,1,1
Student0346,1,1,0,0,1,0,0,0,0,0,0,1
Student0347,1,1,1,1,1,1,1,0,1,0,0,0
Student0348,1,1,1,1,1,0,0,1,1,0,1,0
Student0349,0,0,0,0,0,0,0,0,0,0,0,0
Student0350,1,1,0,0,0,0,0,1,1,1,0,0
Student0351,1,1,0,1,0,0,0,1,1,1,0,0
Student0352,1,1,1,1,1,0,0,1,1,1,1,1
Student0353,1,1,1,0,1,0,0,1,1,1,1,1
Student0354,0,0,0,0,0,0,0,0,0,0,0,0
Student0355,0,0,0,0,0,0,0,1,1,1,1,1
Student0356,1,1,1,0,1,0,0,0,0,0,0,0
Student0357,0,0,0,0,0,0,0,0,1,0,0,0
Student0358,1,1,1,1,1,1,1,0,1,0,0,0
Student0359,1,1,1,1,1,0,0,1,1,1,1,0
Student0360,1,0,0,0,1,0,0,0,0,0,0,0
Student0361,0,0,0,1,0,0,0,1,1,1,0,0
Student0362,0,0,0,1,0,0,0,0,0,0,0,0
Student0363,1,0,0,0,0,0,0,0,0,0,0,0
Student0364,1,1,1,0,1,0,0,1,1,1,1,0
Student0365,1,1,0,1,1,1,1,1,1,1,1,0
Student0366,1,1,1,0,1,0,0,1,1,1,1,0
Student0367,0,0,0,1,1,1,1,0,0,0,0,0
Student0368,1,1,0,1,0,0,0,0,0,0,0,0
Student0369,1,1,1,1,1,0,0,1,1,1,1,0
Student0370,0,0,0,1,0,0,0,1,1,1,1,0
Student0371,1,1,1,1,0,0,0,1,1,1,1,0
Student0372,1,1,1,1,1,1,1,1,0,1,0,0
Student0373,0,0,0,0,0,0,0,0,0,0,0,0
Student0374,1,1,0,0,0,0,0,1,1,1,1,0
Student0375,1,1,1,1,1,1,1,1,1,1,1,0
Student0376,1,1,1,1,1,1,0,1,1,1,0,1
Student0377,1,0,0,1,1,0,1,1,1,0,0,0
Student0378,1,1,1,1,0,0,0,1,1,1,1,1
Student0379,1,1,0,1,1,1,1,0,1,0,0,1
Student0380,1,1,1,1,0,0,0,1,1,1,1,0
Student0381,1,0,0,0,0,0,0,1,0,0,0,0
Student0382,0,0,0,0,0,0,0,0,1,0,0,0
Student0383,1,0,0,1,1,0,0,1,1,1,1,0
Student0384,1,1,0,1,0,0,0,1,0,0,0,1
Student0385,1,1,1,1,1,1,1,1,1,1,1,1
Student0386,1,1,1,0,1,0,0,1,1,1,1,0
Student0387,0,0,0,1,0,0,0,0,0,0,0,0
Student0388,0,0,0,1,0,0,0,0,0,0,0,0
Student0389,1,0,0,0,0,0,0,0,0,0,0,0
Student0390,0,0,0,0,0,0,0,0,0,0,0,0
Student0391,0,0,0,0,0,0,0,0,0,0,0,0
Student0392,1,1,1,1,0,1,1,1,1,1,1,0
Student0393,1,1,1,0,0,0,0,0,0,0,0,0
Student0394,1,1,1,1,1,1,1,1,1,1,1,0
Student0395,0,0,0,0,0,0,0,0,0,0,0,0
Student0396,0,0,0,0,0,0,0,0,0,0,0,0
Student0397,1,0,0,1,0,0,0,0,0,0,0,0
Student0398,1,1,0,0,0,0,0,1,1,0,0,0
Student0399,1,1,0,1,0,0,0,1,1,0,0,0
Student0400,1,1,0,1,1,1,0,1,1,1,1,0
Student0401,0,0,0,0,1,0,0,1,1,1,0,0
Student0402,0,0,0,1,0,0,0,0,1,0,0,0
Student0403,0,0,0,1,1,0,0,0,0,0,0,0
Student0404,0,0,0,0,0,0,0,0,0,0,0,0
Student0405,0,0,0,1,1,0,0,1,1,0,0,0
Student0406,1,1,0,0,0,0,0,0,0,0,0,0
Student0407,1,0,0,1,0,0,0,1,0,0,0,0
Student0408,0,0,0,0,0,0,0,1,1,1,0,0
Student0409,0,0,0,0,0,0,0,1,1,1,1,1
Student0410,1,0,0,0,0,0,0,1,1,0,0,0
Student0411,0,0,0,0,0,0,0,0,1,0,1,0
Student0412,1,1,1,1,1,1,1,0,0,0,0,0
Student0413,1,0,0,1,0,0,0,0,0,0,0,0
Student0414,1,1,0,1,0,0,0,0,1,1,0,0
Student0415,0,0,0,0,1,0,0,1,0,0,0,0
Student0416,0,0,0,1,0,0,0,1,1,1,0,0
Student0417,1,1,1,1,1,1,1,0,1,1,1,0
Student0418,1,1,0,1,1,1,1,0,0,0,0,0
Student0419,0,0,0,0,0,0,0,0,0,0,0,0
Student0420,1,0,0,0,0,0,0,1,1,1,0,0
Student0421,0,0,0,0,0,0,0,0,0,0,0,0
Student0422,0,0,0,0,0,0,0,0,0,0,1,0
Student0423,0,0,0,1,0,0,0,1,1,1,0,0
Student0424,1,0,0,1,1,0,0,1,1,0,0,0
Student0425,0,0,0,0,0,0,0,1,0,0,0,0
Student0426,1,1,1,1,1,1,1,0,1,0,0,0
Student0427,1,0,0,0,0,0,0,1,1,0,0,0
Student0428,1,1,0,1,1,0,0,0,1,0,0,1
Student0429,0,0,0,1,0,0,0,1,1,0,0,0
Student0430,0,0,0,0,0,0,0,0,0,0,0,0
Student0431,0,0,0,1,0,0,0,0,0,1,0,0
Student0432,0,0,0,0,0,0,0,0,0,0,0,0
Student0433,0,0,0,1,0,0,0,1,1,1,1,0
Student0434,0,0,0,0,0,0,0,0,0,0,0,0
Student0435,1,1,1,1,1,0,0,1,1,1,1,0
Student0436,0,0,0,0,0,0,0,1,1,1,1,0
Student0437,0,0,0,1,0,0,0,0,0,0,0,0
Student0438,1,1,0,1,0,0,0,0,0,0,0,0
Student0439,0,0,0,0,0,0,0,0,0,0,0,0
Student0440,1,0,0,0,0,0,0,0,1,0,0,0
Student0441,1,1,0,1,0,0,0,1,0,0,0,0
Student0442,1,0,0,1,1,1,0,1,0,0,1,0
Student0443,0,0,0,0,0,0,0,0,0,1,0,0
Student0444,0,0,0,0,0,0,0,0,0,0,0,0
Student0445,0,0,0,0,0,0,0,1,1,1,0,0
Student0446,1,1,0,1,0,0,0,1,0,1,0,0
Student0447,0,0,0,1,1,1,1,1,1,1,1,1
Student0448,1,1,1,0,1,1,0,1,1,0,1,0
Student0449,0,0,0,0,0,0,0,1,0,1,0,0
Student0450,0,0,0,1,0,0,0,1,1,1,1,0
Student0451,0,1,0,1,1,1,0,1,0,0,0,0
Student0452,0,0,0,0,0,0,0,0,1,0,0,0
Student0453,0,0,0,0,0,0,0,1,0,0,0,0
Student0454,0,0,0,1,1,1,0,1,1,1,1,0
Student0455,1,1,1,1,1,1,0,1,1,1,1,0
Student0456,0,0,0,1,0,0,0,1,1,1,0,1
Student0457,1,1,1,1,1,1,1,1,1,1,1,1
Student0458,1,0,0,1,0,0,0,1,1,1,1,0
Student0459,1,1,0,1,0,0,0,1,0,0,0,0
Student0460,1,1,0,0,1,0,0,1,0,1,0,0
Student0461,1,0,0,1,0,0,0,1,1,1,0,0
Student0462,1,1,1,1,1,0,0,1,0,0,0,0
Student0463,0,0,0,0,0,0,0,0,0,0,0,0
Student0464,1,1,0,0,0,0,0,1,1,1,1,0
Student0465,1,1,1,1,0,0,0,0,1,0,0,1
Student0466,1,1,1,1,0,0,0,0,0,0,0,0
Student0467,1,1,1,1,1,1,1,0,1,1,1,0
Student0468,1,1,1,1,0,0,0,0,1,0,0,0
Student0469,0,0,0,1,0,0,0,0,0,1,0,0
Student0470,0,0,0,0,0,0,0,0,1,0,0,1
Student0471,1,0,0,0,0,0,0,0,0,0,0,0
Student0472,1,1,0,1,1,0,0,1,1,1,0,1
Student0473,1,1,1,1,1,1,1,1,1,1,1,1
Student0474,1,1,1,1,1,1,0,0,0,0,0,0
Student0475,1,1,1,1,0,0,0,1,1,1,1,0
Student0476,1,1,0,1,1,1,0,1,1,1,1,0
Student0477,1,1,1,1,1,1,1,1,1,1,1,0
Student0478,1,1,1,1,1,1,1,1,1,1,1,1
Student0479,1,0,0,1,0,0,0,0,1,0,0,0
